year;evapotranspiration;precipitation;area_Poopo;area_Titicaca;height_Titicaca
1989;156.9071104635527;16.534616626545247;641560200.0;0.0;
1990;218.7615187307153;22.982828404474816;619981200.0;53550.0;
1991;176.10901926925044;18.457871739558662;585868740.0;123627354.54545456;
1992;196.9577074369629;20.7402069949472;432707528.5714286;0.0;
1993;258.68819074544245;27.319107009907732;255169028.57142857;220470750.0;
1994;194.4764654628924;20.467226348432934;99755100.0;210335271.42857143;
1995;149.77667964854604;15.737209733908765;68755140.0;0.0;
1996;197.51302893261226;20.758716373356922;69571350.0;129286170.0;
1997;311.3312253683207;33.212163130322004;305752050.0;215441357.1428572;
1998;147.53917509128772;15.252421763227892;156671550.0;600.0;
1999;266.39810189919757;28.167369614154325;296023950.0;211580100.0;
2000;239.13350814339816;25.0982041441107;180911250.0;420075.0;
2001;335.39005732383754;35.465069465558095;522904050.0;180349425.0;
2002;222.5881989057316;23.31586570796431;399149700.0;90174712.5;3810.6514
2003;182.92352854850841;19.038834859877745;259971637.5;0.0;3811.164545454546
2004;180.77099168571831;18.9577921109308;255053700.0;0.0;3811.10725
2005;263.7665797552001;28.118685373032694;216160110.0;1367478900.0;3810.607157894736
2006;255.09393874781674;26.792222805726773;268661250.0;1340251200.0;3810.5827894736854
2007;210.7217105589316;21.970308941527136;220534425.0;1328600700.0;3810.3504
2008;189.44347990704287;19.879426572972505;187448785.7142857;1316950200.0;3810.160473684211
2009;217.34193838016503;22.926275626488646;123012900.0;1307766600.0;3809.54945
2010;200.63861808574538;21.15672142396168;108484500.0;1298583000.0;3809.55775
2011;288.5783425048841;30.776422116840426;238193550.0;973466070.0;3809.3236
2012;306.9077415697852;32.198045391388966;261955875.0;648349140.0;3809.932083333333
2013;278.0838229506816;29.07340487186811;285718200.0;323232210.0;3810.373384615386
2014;204.99131049856297;21.634527960177792;204485236.3636364;327195000.0;3810.2390000000014
2015;232.3302123517821;24.460690220068965;156190320.0;419593605.88235295;3810.116233333333
2016;201.73702941784236;21.049834359292266;20530227.272727273;397393550.0;3809.599419354839
2017;305.93810311007917;32.13296456284761;62114400.0;305116328.5714286;3809.052409090909
2018;370.1018816486065;39.431387872143176;220003650.0;338527384.61538464;3809.104307692308
2019;370.1018816486065;39.431387872143176;210351487.5;275188950.0;3808.9843333333333
