year;evapotranspiration
1989;156.9071104635527
1990;218.76151873071527
1991;176.10901926925047
1992;196.95770743696286
1993;258.68819074544245
1994;194.4764654628924
1995;149.77667964854604
1996;197.51302893261223
1997;311.3312253683207
1998;147.53917509128772
1999;266.3981018991976
2000;239.1335081433982
2001;335.39005732383754
2002;222.5881989057316
2003;182.92352854850833
2004;180.77099168571831
2005;263.7665797552001
2006;255.09393874781674
2007;210.72171055893156
2008;189.44347990704287
2009;217.34193838016503
2010;200.63861808574538
2011;288.5783425048841
2012;306.9077415697852
2013;278.0838229506816
2014;204.99131049856297
2015;232.33021235178217
2016;201.7370294178423
2017;305.9381031100792
2018;370.1018816486065
